Price,Square Feet,Lot Size,Bedrooms,Bathrooms,Garage,Year Built,Elementary School Score,Middle School Score,High School Score,Walk Score,Property Taxes,Highway,Restaurant,Park,Shopping Mall,Address,Zip Code
179900,1600,43560,3,2,Yes,1994,9,4,2,15,3182,No,22,18,1.3,504 Winkworth Pkwy,13219
128000,1992,6969,4,2.5,Yes,1950,2,4,2,43,1393,No,7,5,0.6,136 Austin Ave,13207
114900,1378,5227,4,1,Yes,1930,2,4,2,50,1331,No,6,7,0.5,701 Velasko Rd,13207
107500,1452,5227,3,1,Yes,1931,2,4,1,42,157,No,12,8,0.8,518 Wolcott Ave,13207
43000,850,6098,2,1,Yes,1955,2,9,1,57,1525,No,8,20,0.6,112 Wolcott Ave,13207
85000,1639,7840,4,1,No,1915,2,4,1,36,2184,No,32,11,2.5,212 Roberts Ave,13207
254900,3560,13503,5,3.5,Yes,1940,2,4,2,28,5202,No,27,13,2.6,168 Robineau Rd,13207
63000,1788,5227,3,1,No,1890,4,1,2,43,788,No,34,6,3.3,136 Parkside ave,13207
188000,2832,10454,4,2,Yes,1905,2,4,1,49,2500,No,12,11,1.9,121 Ruskin Ave,13207
169900,1864,6534,4,2,Yes,1926,2,4,2,52,2251,No,22,4,4.1,203 Wellesley Rd,13207
38000,1162,3049,3,1,Yes,1890,1,1,2,37,1141,No,26,21,3.2,"160 Berger Ave, Syracuse NY",13205
59900,1540,3920,4,1,No,1900,1,2,1,52,1343,No,40,4,2.3,106 Glahn Ave,13205
59900,1260,13503,4,2,No,1950,1,1,2,33,963,No,23,24,3.5,368 W Matson Ave,13205
212990,2800,16552,4,5,Yes,1930,9,2,3,25,3953,No,23,24,2.1,208 Standish Dr,13224
212990,2800,16552,4,5,Yes,1930,9,2,3,25,3953,No,23,24,2.1,208 Standish Dr,13224
212990,2800,16552,4,5,Yes,1930,9,2,3,25,3953,No,23,24,2.1,208 Standish Dr,13224
159000,2330,12196,4,2,Yes,1940,9,2,3,6,3320,No,22,34,1.5,203 Lockwood Rd,13214
119500,1008,7731,3,1,Yes,1952,9,2,3,17,1537,No,27,47,2.3,200 Locksley Rd,13224
185000,2136,28314,3,2,Yes,1964,9,2,3,35,4081,No,20,23,1.4,205 Bradford Pkwy,13224
34000,1194,4356,3,1,Yes,1915,1,1,2,35,1126,No,16,24,3,127 Winman Ave,13205
28000,720,5227,2,1,Yes,1925,1,1,2,42,1237,No,11,19,3.1,508 W. Newell St,13205
159900,1984,9147,5,2,Yes,1960,9,2,3,16,2177,No,40,15,1.5,406 Hillsboro Pkwy,13214
63000,1788,5227,3,1,No,1890,4,1,2,43,788,No,31,44,2.4,"163, Parkside Ave,",13207
132000,1786,4093,3,1.5,No,1910,1,2,1,56,1620,No,12,8,2.7,"301, South Avery Avenue",13204
180000,1204,3484,4,2,No,1900,1,1,2,74,609,No,7,14,1.7,"114, Nelson Street",13204
98999,1462,,4,2,No,1890,1,1,2,71,1651,No,9,8,1.8,567 S Wilbur Ave,13204
50310,1460,6534,3,2,No,1900,4,1,2,58,509,Yes,4,8,1.7,"217,Rockland Ave,",13207
40000,1248,8276,3,1,No,1920,4,2,2,43,506,No,7,0,4.2,421 Glenwood Ave,13207
18500,1976,2401,6,2,No,1910,2,1,1,68,1231,No,3,28,0.4,"209,Lemoyne Ave",13208
80105,1378,4070,3,1,No,1900,2,1,2,56,1603,No,7,13,2.6,236 Huntley street,13208
82828,2262,,6,2,Yes,1915,4,1,2,66,1240,No,1,1,0.7,137 E Bissel St.,13207
62957,1722,6239,6,2,Yes,1900,2,4,1,48,1723,No,0.9,15,0.9,"1508 S Geddes St, ",13207
49900,1194,9583,2,1,No,1860,1,9,1,49,1113,No,24,15,1.5,134 Hoefler St,13204
42000,1110,3484,3,2,Yes,1925,1,2,1,57,1088,No,23,15,1.6,205 Hartson St,13204
79900,1234,5662,2,1,Yes,1930,2,2,3,49,1140,No,21,10,2.8,302 Beattie St,13224
69998,1150,3435,3,1.5,Yes,1962,2,3,3,48,1201,No,20,1,2.1,306 Mountainview Ave,13224
74900,1198,4791,3,2,Yes,1923,2,2,3,59,1661,No,19,5,2.2,147 Fayette Blvd,13224
72000,1320,4356,3,2,Yes,1925,2,2,3,50,1595,No,17,15,1.7,273 Genessee Park Drive,13224
49900,2003,3920,6,2,No,1900,2,4,1,59,1950,No,26,26,1.8,310 Arthur Street,13204
79900,1548,6098,3,1,Yes,1973,2,2,3,63,794,No,12,5,2.9,484 Audubon Parkway,13224
84900,1250,6000,3,1.5,Yes,1952,2,2,5,48,875,Yes,21,7,2.1,638 Salisbury Park Drive,13224
56000,1664,1735,4,2,No,1910,1,3,2,65,871,No,11,17,3.2,461 Westmoreland Ave,13210
74900,944,10711,2,2,Yes,1984,1,3,2,65,2263,Yes,0.5,8,4.5,230 Delhi Street,13202
24900,1656,4356,2,2,No,1900,1,3,2,72,1086,Yes,6,10,1.6,813 Hawley Ave,13203
72500,3627,2613,7,5,No,1910,1,3,2,78,1860.04,No,3,16,2.7,705 Lodi St,13203
58900,2712,4356,6,3,No,1870,1,1,1,81,2302,No,2,16,1.2,1006 N Townsend St,13208
49900,2464,3484,6,3,No,1900,1,1,1,87,1890,No,2,17,5,412 E Division,13208
29900,1390,1742,3,1,No,1910,1,1,1,80,959,No,6,18,1.4,109 Lilac street,13208
45000,2624,4791,6,2,No,1900,1,1,1,83,1484,No,7,19,1.5,608 Ash Street,13208
59000,2208,4356,4,2,No,1910,1,1,1,71,1372,No,8,20,1.4,1113 Park Street,13208
79950,972,4791,2,1,Yes,1925,2,1,2,38,1031,No,25,26,0.2,110 Merril St,13208
69900,1160,6969,2,1,Yes,1950,2,1,2,48,1272,No,26,29,0.4,310 Martin St,13208
59900,1536,4791,3,1,Yes,1930,2,1,2,47,1461,No,25,24,0.2,308 Cadillac St,13208
94900,976,6098,2,2,No,1974,2,1,2,47,1251,No,24,23,0.4,150 7th North St,13208
81900,1728,7123,4,2,Yes,1915,2,1,2,49,1285,No,26,20,0.2,1435 Court St,13208
12000,1524,4000,4,2,Yes,1950,2,1,2,32,2030,No,25,25,0.5,1045 Wadsworth St,13208
79900,1080,5227,3,1,Yes,1950,2,1,2,32,1386,No,24,26,0.5,133 Harford Rd,13208
64930,1056,5822,3,1,Yes,1928,2,1,2,40,1362,No,22,29,0.5,325 Harford Rd,13208
60570,1136,8844,3,1,No,1950,2,1,2,45,1237,No,23,26,0.4,108 Ellen St,13208
83625,1572,4000,3,1,Yes,1920,2,1,2,32,1626,No,26,24,0.4,1037 Wadsworth St,13208
115740,2814,5940,7,3,No,1925,1,1,2,64,1841,No,14,23,1.6,316 Shonnard St,13204
54782,1394,1742,6,2,No,1910,1,1,2,70,665,No,19,22,2,420 Merriman Ave,13204
56172,1712,3049,4,2,No,1900,1,1,2,70,909,No,19,22,2,418 Merriman Ave,13204
89842,1600,4356,5,2,No,1870,1,1,2,70,715,No,18,27,2,661 Gifford St,13204
65809,1590,5808,3,1,No,1925,1,1,2,71,2630,No,20,28,1.8,519 Seymour St,13204
53516,1131,4356,4,1.5,No,1870,1,1,2,69,739,No,18,30,1.8,607 Gifford St,13204
110654,2452,6600,6,3,No,1920,1,1,2,71,1160,No,17,21,1.8,411 Seymour St,13204
87943,2284,1320,6,2,Yes,1900,1,1,2,80,821,No,14,23,1.5,314 Seymour St,13204
143473,3618,4356,8,3,No,1930,1,1,4,77,715,No,12,26,1.6,333 Gifford St,13204
102641,2708,4356,4,2,No,1925,1,1,4,77,857,No,12,28,1.6,331 Gifford St,13204
182000,1200,67953.6,2,1,No,1940,1,1,2,81,0,No,6,15,3.9,917 Madison St.,13210
159900,1065,0,2,1,No,1940,1,1,2,82,746,No,14,15,3.9,917 Madison St.,13210
159900,1455,0,2,2,No,1940,1,1,2,81,1395,No,8,15,3.9,917 Madison St.,13210
100000,1093,6098,3,1,Yes,1943,2,1,2,44,1344,No,8,20,2.7,516 Darlington Rd,13208
61111,1829,3049,5,2,No,1930,1,2,1,61,2014,No,8,4,2.8,119 Essex St,13204
69900,864,3920,3,1,Yes,1952,2,1,2,44,1100,No,13,21,2.9,375 Pleasantview Ave,13208
69900,1252,4356,4,1,No,1910,1,2,1,65,1398,No,9,9,2,824 Avery Ave.,13204
63900,1743,3484,4,2,No,1935,1,2,1,60,2003,No,8,4,2.2,205 Essex,13204
44900,1284,2613,3,1.5,Yes,1925,1,2,1,52,1392,No,7,8,2.1,112 Coykendall Ave,13204
56000,1590,3484,4,2,Yes,1840,1,2,1,66,1574,No,6,9,2.2,418 Chemung St.,13204
79900,949,5227,2,2,Yes,1925,2,1,2,56,907,No,5,18,2.2,245 Dale St # 47,13208
64900,1292,11325.6,3,2,No,1920,1,2,1,59,875,No,4,11,2.2,112 Kincaid Ave.,13204
13203,3627,2613,7,5,No,1910,1,3,2,78,0,No,0.4,0,1,705 Lodi St,13203
61170,1248,3703,2,2,Yes,1988,1,3,2,81,0,No,0.4,0,1,606 Lodi St,13203
89900,1176,4791,3,1,Yes,1925,2,1,2,48,1596,No,7,21,2.2,172 Loma Ave,13208
39900,1910,4356,3,0,No,1900,1,2,1,60,1536,No,6,9,1.9,934 Emerson Ave.,13204
89000,1313,3795,3,2,No,1906,1,2,1,48,0,No,0.6,0.1,3.3,536 Bryant Ave,13204
132000,1786,4093,3,1.5,No,1910,1,2,1,56,1620,No,0.6,0.1,3.3,301 S Avery Ave,13204
97888,1578,4125,3,1.5,Yes,1928,1,2,1,54,1934,No,0.6,0.1,3.3,447 Whittier Ave,13204
89900,1604,4536,4,2,Yes,1920,2,1,2,44,1393,No,7,24,2.4,254 Maplehurst Ave,13208
180000,2316,6995,4,3.5,Yes,1940,1,3,2,68,1880,No,0.4,0,1.3,321 Allen St,13210
189900,3224,6534,6,2,Yes,1935,3,3,9,75,0,No,0.3,0,1.4,157 Cambridge St,13210
156082,2239,6801,3,2.5,Yes,1900,3,3,9,75,3105,No,0.3,0,1.4,464 Allen St,13210
88000,1639,5227,3,1.5,No,1920,5,2,2,38,5114,No,7,26,3,511 Pleasantview Ave,13208
44900,1888,4791,4,1,No,1900,2,1,2,54,1929,No,9,18,2.5,166 Briggs St,13208
89900,1152,4400,3,1,No,1930,2,1,2,48,1445,No,6,20,2.5,832 Wadsworth St,13208
98500,1316,6534,3,2,Yes,1951,2,1,2,44,3796,No,4,26,2.6,116 Wilmore Pl,13208
59900,2442,3049,5,2,No,1880,1,3,2,79,1542,No,19,2,1.9,218 Seward Street,13203
49500,1920,4791,6,2,No,1920,2,1,1,74,1301,No,14,25,1.1,717 Park Ave,13204
53000,1158,4356,3,2,No,1890,1,3,2,79,1216,No,13,6,1.7,105 Schneider Street,1323
241000,3888,15246,5,3,Yes,1910,1,3,2,62,6198,No,19,5,1.6,217 Highland Ave,13203
48000,1872,4356,4,2,No,1910,2,1,1,68,1220,No,9,25,2.2,332 Apple St,13204
111000,1456,5227,4,2,Yes,1910,3,2,3,52,1227,No,21,11,2.6,336 S. Edwards Ave,13206
54900,2672,4536,7,3,No,1910,2,1,1,73,1825,No,13,26,1.9,532 Richmond Ave,13204
164900,2156,7250,4,1.5,No,1922,3,2,2,63,2716,No,21,9,0.6,128 Hickok Ave,13206
70000,1750,7062,3,2,No,1930,4,2,2,34,216,No,12,34,3.4,235 Rider Ave,13207
69900,1008,5227,3,1,No,1951,3,2,3,58,1688,No,19,5,1.4,405 S Edwards Ave,13206
99900,1248,6534,3,1,Yes,1930,2,1,4,38,1354,No,13,32,3.5,503 Wolcott Ave,13207
84900,1400,5227,4,2,No,1890,2,1,4,43,1719,No,11,31,2.1,154 Reed Ave # 56,13207
105000,3015,6098,4,2,Yes,1890,1,4,1,66,976,No,8,8,3.5,105 Onondaga Ave,13204
45000,2496,5227,6,2,No,1900,1,4,1,53,900,No,5,9,1.5,164 Hudson Street,13204
35000,1134,8712,3,1,No,1930,2,4,1,53,848,No,5,9,1.5,212 Hudson St,13207
54900,1104,3049,3,1,No,1890,1,1,1,67,835,No,3,21,1.4,904 Spring St. ,13208
63900,1684,4183,4,2,Yes,1992,2,1,1,63,1297,No,5,9,1.5,301 Hudson St,13207
59900,2435,3049,4,3,No,1900,1,1,1,74,1563,No,3,24,1.2,1239 Park St.,13208
88742,1872,4000,4,1.5,Yes,1905,1,2,1,63,729,Yes,3,7,0.5,"711 Avery Ave Syracuse, NY",13204
66378,996,4200,2,1.5,Yes,1905,1,2,1,75,0,Yes,2,8,0.6,"505 Milton Ave Syracuse, NY",13204
77055,2104,6000,3,2,No,1942,1,2,1,76,875,No,2,15,1,"408 Ulster St Syracuse, NY",13204
58756,1008,5891,2,1,Yes,1953,1,4,2,27,160,No,9,24,3.8,"302 Mitchell Ave Syracuse, NY",13207
68462,1200,10100,3,1,No,1930,2,4,2,41,822,No,5,3,2.8,"245 Glenwood Ave Syracuse, NY",13207
63689,1080,13503,3,1.5,Yes,1929,1,3,2,39,1689,Yes,10,16,3.5,"524 Valley Dr Syracuse, NY",13207
68505,1308,5016,3,1.5,Yes,1929,4,1,2,37,1263,No,10,15,3.3,"202 Hutchinson Ave Syracuse, NY",13207
74900,1384,8712,3,1,Yes,1920,2,1,1,60,1284,No,9,24,1.5,209 2nd North St.,13208
368000,1850,1850,2,2,Yes,1994,1,2,1,89,1817,No,1,2,1.5,"133 Walton St APT 138, Syracuse, NY",13202
169900,950,950,1,1,No,1928,1,1,2,92,1038,No,2,4,1.2,"108 W Jefferson St APT 808, Syracuse, NY",13202
109900,1808,7405,4,2,Yes,1930,3,2,3,52,1831,No,40,35,5.5,"209 2nd North St, Syracuse, NY 13208",13206
125000,1496,1496,3,2,Yes,1929,3,2,3,50,1584,No,43,35,5.5,"3401 James St APT 9, Syracuse, NY 13206",13206
283635,1286,1286,2,2,No,2009,1,1,2,91,0,No,2,2,1.3,"211 W Jefferson St APT 409, Syracuse, NY",13202
67000,768,6969,2,1,No,1955,3,2,5,55,1588,No,34,36,5.6,"808 Coughlin Ave, Syracuse, NY 13206",13206
38000,1596,3484,3,2,No,1922,1,1,2,57,170,No,35,13,2.3,"422 W Colvin St, Syracuse, NY 13205",13205
129900,1350,7405,3,2,No,1926,3,3,1,42,2332,No,20,9,1.5,"340 Buckingham Ave, Syracuse, NY 13210",13210
118500,1650,12632.4,3,1,Yes,1915,3,3,1,38,2359,No,25,7,2.2,"464 Buckingham Ave, Syracuse, NY 13210",13210
205000,2630,2630,4,3,Yes,1990,1,3,3,23,1950,No,31,1.2,1.6,"21 Nursery Ln, Syracuse, NY 13210",13210
87000,2760,4800,6,2,No,1910,2,1,2,45,1489,Yes,5,30,2,139 Pulaski St,13204
53981,1548,6534,4,2,Yes,1920,2,1,1,59,2139,Yes,20,5,2,709 Wolf St,13208
74900,832,10500,3,2,Yes,1960,1,3,2,28,1007,Yes,4,11,6.9,1705 Valley Dr.,13207
69900,2704,9147,4,2,Yes,1965,1,3,2,28,2755,No,4,9,6.8,214 Riverdale Dr.,13207
55000,1451,7405,4,1,No,1960,1,3,2,33,1370,No,8,29,6.4,145 Bradford St.,13207
68500,1704,8764,4,1,Yes,1950,1,3,2,28,1594,No,8,30,6.4,626 Barnes Ave.,13207
74500,1728,3920,7,3,Yes,1920,1,1,1,73,1633,No,6,23,1.5,517 Carbon St.,13208
59900,2435,3049,4,3,No,1900,1,1,1,74,1563,No,3,20,1.2,1239 Park St.,13208
59000,2208,4356,4,2,Yes,1910,1,1,1,71,1372,No,15,22,1.4,1113 Park St.,13208
39900,1824,3920,5,2,No,1900,2,1,1,67,1179,Yes,7,13,1.1,2409 Lodi St.,13208
49000,816,1740,2,2,No,1890,2,1,1,71,1166,Yes,8,12,1.1,2317 Lodi St.,13208
39900,1376,3484,4,2,Yes,1915,1,1,1,72,821,No,14,19,1.2,230 Lilac St.,13208
80000,2421,3920,1,1,Yes,1940,2,1,2,50,79,No,36,14,1.4,1006 Wolf Street,13208
34900,1080,2613,3,1.5,No,1880,2,1,1,64,1087,No,30,8,1.2,619 2nd N Street,13208
45000,2238,4356,6,2,No,1880,2,1,1,64,1723,No,29,7,1.2,609 2nd N St,13208
80000,2244,4356,4,2,Yes,1915,2,1,1,62,1987,No,22,7,1.2,1300 Spring Street,13208
99000,2144,7840,3,2,Yes,1868,2,1,1,66,1828,No,18,8,1.1,409 Court Street,13208
125000,2794,8276,6,2,Yes,1909,2,1,1,59,1500,No,25,10,1.2,805 Turtle Street,13208
82900,1480,,2,2,Yes,1986,2,1,2,61,1799,No,27,10,1.2,103 Arnts Place,13208
47900,1312,4791,5,2,No,1900,2,1,2,60,1531,No,30,11,1.3,115 Murray Ave,13208
76000,1056,6098,3,1,Yes,1926,2,1,2,39,51,No,31,13,1.4,339 Willumae Dr,13208
104900,1492,6098,3,1,Yes,1930,2,1,2,57,2067,No,29,17,1.6,128 Willumae Dr,13208
109900,1152,4791,4,1,Yes,1952,3,3,9,62,1811,No,16,1,0.5,611 Broad Street,13210
148500,1693,5227,3,1,Yes,1924,3,3,9,66,1959,No,12,7,0.7,140 Miles Ave,13210
133000,2232,13068,5,2,No,1930,2,1,1,52,1451,Yes,2,8,1.3,106 Giminski Drive,13204
149500,1560,10750,3,2,No,1920,3,3,9,58,1842,No,10,11,0.7,883 Westmoreland Ave,13210
219461,3288,0.25,5,4,Yes,1903,1,3,8,45,4573,No,19,10,1.1,109 Dorset Rd,13210
164900,1672,7405,3,3,Yes,1930,3,3,9,61,3511,No,2,3,0.9,801 Westmoreland,13210
89900,1800,5227,4,2,No,1920,3,3,9,43,1103,No,9,17,1.3,539 Westmoreland,13210
138961,1566,6500,3,1.5,Yes,1925,1,3,3,42,2411,No,20,5,3.7,326 Buckingham Avenue,13210
180189,2605,5000,5,1,Yes,1916,1,3,3,45,2372,No,18,11,6,226 Stratford St,13210
109900,1144,4300,3,1.5,No,1920,3,3,9,65,1924,No,11,7,0.7,1026 Westcott Ave,13210
46500,720,6120,2,1,No,1964,2,1,2,48,650,Yes,4,7,1.3,103 Pulaski St,13204
141000,2538,5280,4,2,No,1920,9,3,3,72,3185,No,9,6,1,717 Ackerman Ave ,13210
88620,1324,7458,3,1,Yes,1957,2,4,2,52,1670,No,14,33,1.4,149 Sunhill Terrace,13207
243940,3720,8741,10,4,No,1890,9,3,3,72,3365,No,8,6,5,415 Clarendon St,13210
78551,1400,9801,3,1,No,2006,2,1,1,75,795,No,13,4,2,609 Marcellus St,13204
228341,1544,3267,4,1,No,1980,2,1,1,55,26,Yes,8,15,2,124 Plum Street,13204
113589,2450,8316,5,3,No,1880,2,1,1,75,972,No,16,4,2.1,616 Otisco St,13204
70839,1008,9215,3,1,Yes,1950,1,1,3,37,2037,Yes,33,32,6,217 Thurber St,13210
90932,1284,8913,4,2.5,No,1957,1,1,3,28,1590,Yes,33,14,2.2,108 Stevens Pl,13210
58650,1292,3960,5,1,Yes,1880,2,1,1,70,152,No,15,5,2,307 Ontatio St,13204
84095,1228,6000,3,1.5,Yes,1880,1,1,3,28,1082,Yes,26,31,2.3,109 Thurber St,13210
77176,2144,3920,4,2,No,1860,1,2,1,64,445,Yes,16,10,1.4,550 Park Ave,13204
47500,2376,2841,6,1,No,1900,1,3,2,86,1461,No,8,26,2.2,702 Catherine St,13203
135661,3330,3920,9,3,No,1920,1,2,1,64,1926,Yes,64,4,1.3,544 Park Ave,13204
95982,2434,8160,4,2,No,1900,1,2,2,64,1443,Yes,15,4,1.4,536 Park Ave,13204
91419,2088,7304,4,1.5,Yes,1920,1,3,2,82,1730,No,8,5,0.2,706 McBride St,13203
67438,1891,2706,3,1.5,No,1900,1,3,2,83,848,No,6,4,1.7,602 Hickory St,13203
86828,1692,7166,3,2,Yes,1950,2,2,3,51,1193,No,23,29,2.7,154 Ridgeway Avenue,13224
85676,2348,8712,4,2,No,1920,2,3,2,43,1175,No,3,32,1.7,215 East Glen Avenue,13205
48022,1420,4059,4,1,No,1900,2,4,1,62,821,No,5,9,2.8,321 Rich Street,13207
48650,1222,6696,3,1,Yes,1930,4,1,2,41,1629,No,35,6,3.4,137 Temple Place,13207
89748,1344,6534,3,2,No,1935,2,3,2,34,1424,No,16,8,0.9,160 Brampton Road,13205
46154,1019,2090,3,1,No,1979,1,3,2,71,804,No,16,7,2.4,212 Graves Street,13203
